Cuenta;URL_imagen;URL_tweet;Cuenta_verificada;Fechaantigua_imagen;Fechareciente_imagen;Fecha_tweet;Diferencia_dia_antiguo;Diferencia_dia_reciente;Scoring
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_i2U1vX4AEt6Bi.jpg;URL del tweet: https://twitter.com/CNN/status/1150870176038117377;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-03;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 12 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_iJ2cbWsAAkgcs.jpg;URL del tweet: https://twitter.com/CNN/status/1150821284475023360;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-11;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 4 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_hwVAGWsAE_iaL.jpg;URL del tweet: https://twitter.com/CNN/status/1150793213764132866;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2012-02-14;La fecha mas reciente de la imagen es: 2019-07-04;La fecha del tweet es: 2019-07-15;Hay 2707 dias de diferencia respecto a la fecha mas antigua;Hay 11 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_hf0w3XsAAsLWF.jpg;URL del tweet: https://twitter.com/CNN/status/1150775076725428226;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-11;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 4 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_goubrXUAAeNvR.jpg;URL del tweet: https://twitter.com/CNN/status/1150714484635439104;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2011-06-02;La fecha mas reciente de la imagen es: 2019-07-04;La fecha del tweet es: 2019-07-15;Hay 2965 dias de diferencia respecto a la fecha mas antigua;Hay 11 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_glKmBXkAIo9pO.jpg;URL del tweet: https://twitter.com/CNN/status/1150710570284437504;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-05;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 10 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 30 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gjKtxX4AYxjFT.jpg;URL del tweet: https://twitter.com/CNN/status/1150708373572259840;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2012-02-14;La fecha mas reciente de la imagen es: 2019-07-04;La fecha del tweet es: 2019-07-15;Hay 2707 dias de diferencia respecto a la fecha mas antigua;Hay 11 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gbvIOWwAA_FDE.jpg;URL del tweet: https://twitter.com/CNN/status/1150700211381182464;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-11;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 4 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gTo7bXsAIzV8t.jpg;URL del tweet: https://twitter.com/CNN/status/1150691300196462592;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2013-04-12;La fecha mas reciente de la imagen es: 2019-07-06;La fecha del tweet es: 2019-07-15;Hay 2285 dias de diferencia respecto a la fecha mas antigua;Hay 9 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gOUziXYAA7yZv.jpg;URL del tweet: https://twitter.com/CNN/status/1150685457023418368;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2005-08-27;La fecha mas reciente de la imagen es: 2019-07-01;La fecha del tweet es: 2019-07-15;Hay 5070 dias de diferencia respecto a la fecha mas antigua;Hay 14 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gILeZXoAAV6MY.jpg;URL del tweet: https://twitter.com/CNN/status/1150678699693551618;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2017-04-01;La fecha mas reciente de la imagen es: 2019-07-01;La fecha del tweet es: 2019-07-15;Hay 835 dias de diferencia respecto a la fecha mas antigua;Hay 14 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 30 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gEDkiW4AAUDNB.jpg;URL del tweet: https://twitter.com/CNN/status/1150674165986463745;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2006-11-15;La fecha mas reciente de la imagen es: 2019-07-06;La fecha del tweet es: 2019-07-15;Hay 4624 dias de diferencia respecto a la fecha mas antigua;Hay 9 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_gALo1XYAAp_1Y.jpg;URL del tweet: https://twitter.com/CNN/status/1150669906532339715;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2007-10-18;La fecha mas reciente de la imagen es: 2019-06-18;La fecha del tweet es: 2019-07-15;Hay 4288 dias de diferencia respecto a la fecha mas antigua;Hay 27 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_f8B3vW4AI0evV.jpg;URL del tweet: https://twitter.com/CNN/status/1150665340327813120;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2012-02-20;La fecha mas reciente de la imagen es: 2019-07-12;La fecha del tweet es: 2019-07-15;Hay 2701 dias de diferencia respecto a la fecha mas antigua;Hay 3 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_f3TTsW4AApRuG.jpg;URL del tweet: https://twitter.com/CNN/status/1150660142788165632;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2006-11-15;La fecha mas reciente de la imagen es: 2019-07-06;La fecha del tweet es: 2019-07-15;Hay 4624 dias de diferencia respecto a la fecha mas antigua;Hay 9 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fwgyzWkAAAlb_.jpg;URL del tweet: https://twitter.com/CNN/status/1150652677514301440;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2010-12-19;La fecha mas reciente de la imagen es: 2019-06-28;La fecha del tweet es: 2019-07-15;Hay 3129 dias de diferencia respecto a la fecha mas antigua;Hay 17 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fumxOXYAApvAV.jpg;URL del tweet: https://twitter.com/CNN/status/1150650580962070528;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2009-10-26;La fecha mas reciente de la imagen es: 2019-07-01;La fecha del tweet es: 2019-07-15;Hay 3548 dias de diferencia respecto a la fecha mas antigua;Hay 14 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 30 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fsfNDX4AAWm4q.jpg;URL del tweet: https://twitter.com/CNN/status/1150648252204822529;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-01;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 14 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fqWT7XYAEqlQ7.jpg;URL del tweet: https://twitter.com/CNN/status/1150645900450177024;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2011-06-30;La fecha mas reciente de la imagen es: 2019-07-06;La fecha del tweet es: 2019-07-15;Hay 2937 dias de diferencia respecto a la fecha mas antigua;Hay 9 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fogGYXoAA8141.jpg;URL del tweet: https://twitter.com/CNN/status/1150643869400387586;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-03;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 12 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_fmpcwXUAAV1Im.jpg;URL del tweet: https://twitter.com/CNN/status/1150641831253856256;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-06-28;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 17 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
Cuenta: CNN; Imagen buscada: https://pbs.twimg.com/media/D_flZ9YXUAAhpEE.jpg;URL del tweet: https://twitter.com/CNN/status/1150640467643699200;Cuenta verificada: Cuenta verificada;La fecha mas antigua de la imagen es: 2001-01-01;La fecha mas reciente de la imagen es: 2019-07-09;La fecha del tweet es: 2019-07-15;Hay 6768 dias de diferencia respecto a la fecha mas antigua;Hay 6 dias de diferencia respecto a la fecha mas reciente;La imagen es falsa con un porcentaje de un 10 %
